0;(0, 0, 0, 0, 0);0.01;0;1
1;(0, 0, 0, 0, 0);0.03;0;1
2;(0, 0, 0, 0, 0);0.05;0;1
3;(0, 0, 0, 0, 0);0.06;0;1
4;(0, 0, 0, 0, 0);0.08;0;1
5;(0, 0, 0, 0, 0);0.1;0;1
6;(0, 0, 0, 0, 0);0.12;0;1
7;(0, 0, 0, 0, 0);0.15;0;1
8;(0, 0, 0, 0, 1);0.01;0.00799665;0.967086
9;(0, 0, 0, 0, 1);0.03;0.0323934;0.965158
10;(0, 0, 0, 0, 1);0.05;0.0532961;0.964898
11;(0, 0, 0, 0, 1);0.06;0.0633485;0.964953
12;(0, 0, 0, 0, 1);0.08;0.0832175;0.964502
13;(0, 0, 0, 0, 1);0.1;0.103158;0.964557
14;(0, 0, 0, 0, 1);0.12;0.12291;0.964734
15;(0, 0, 0, 0, 1);0.15;0.152669;0.965035
16;(0, 0, 0, 0, 2);0.01;0.00569069;0.931486
17;(0, 0, 0, 0, 2);0.03;0.0350754;0.927196
18;(0, 0, 0, 0, 2);0.05;0.0566426;0.9253
19;(0, 0, 0, 0, 2);0.06;0.0664015;0.9264
20;(0, 0, 0, 0, 2);0.08;0.0862631;0.92561
21;(0, 0, 0, 0, 2);0.1;0.106032;0.926186
22;(0, 0, 0, 0, 2);0.12;0.125643;0.925151
23;(0, 0, 0, 0, 2);0.15;0.155524;0.924737
24;(0, 0, 0, 0, 3);0.01;0.00310388;0.896782
25;(0, 0, 0, 0, 3);0.03;0.0377505;0.889573
26;(0, 0, 0, 0, 3);0.05;0.0599726;0.887778
27;(0, 0, 0, 0, 3);0.06;0.0697333;0.887572
28;(0, 0, 0, 0, 3);0.08;0.0894648;0.887087
29;(0, 0, 0, 0, 3);0.1;0.109134;0.887946
30;(0, 0, 0, 0, 3);0.12;0.128606;0.888816
31;(0, 0, 0, 0, 3);0.15;0.158227;0.887628
32;(0, 0, 0, 0, 4);0.01;0.00121583;0.870741
33;(0, 0, 0, 0, 4);0.03;0.0407786;0.853
34;(0, 0, 0, 0, 4);0.05;0.0631736;0.8519
35;(0, 0, 0, 0, 4);0.06;0.0730611;0.85029
36;(0, 0, 0, 0, 4);0.08;0.0927041;0.852121
37;(0, 0, 0, 0, 4);0.1;0.111706;0.851687
38;(0, 0, 0, 0, 4);0.12;0.131492;0.85034
39;(0, 0, 0, 0, 4);0.15;0.16038;0.852222
40;(0, 0, 0, 1, 0);0.01;0.00498937;0.950273
41;(0, 0, 0, 1, 0);0.03;0.0287244;0.938602
42;(0, 0, 0, 1, 0);0.05;0.0532959;0.938051
43;(0, 0, 0, 1, 0);0.06;0.0644962;0.937582
44;(0, 0, 0, 1, 0);0.08;0.0855979;0.936797
45;(0, 0, 0, 1, 0);0.1;0.105851;0.937348
46;(0, 0, 0, 1, 0);0.12;0.125608;0.937148
47;(0, 0, 0, 1, 0);0.15;0.155443;0.936926
48;(0, 0, 0, 1, 1);0.01;0.00254861;0.918311
49;(0, 0, 0, 1, 1);0.03;0.0310557;0.899665
50;(0, 0, 0, 1, 1);0.05;0.0565908;0.89893
51;(0, 0, 0, 1, 1);0.06;0.0677448;0.899621
52;(0, 0, 0, 1, 1);0.08;0.0886132;0.897325
53;(0, 0, 0, 1, 1);0.1;0.108824;0.899714
