0;(0, 0, 0, 0, 0);0.01;0;1
1;(0, 0, 0, 0, 0);0.03;0;1
2;(0, 0, 0, 0, 0);0.05;0;1
3;(0, 0, 0, 0, 0);0.06;0;1
4;(0, 0, 0, 0, 0);0.08;0;1
5;(0, 0, 0, 0, 0);0.1;0;1
6;(0, 0, 0, 0, 0);0.12;0;1
7;(0, 0, 0, 0, 0);0.15;0;1
8;(0, 0, 0, 0, 1);0.01;0.00729779;0.963477
9;(0, 0, 0, 0, 1);0.03;0.032421;0.966895
10;(0, 0, 0, 0, 1);0.05;0.0527219;0.966895
11;(0, 0, 0, 0, 1);0.06;0.0631249;0.966895
12;(0, 0, 0, 0, 1);0.08;0.0826656;0.962793
13;(0, 0, 0, 0, 1);0.1;0.101042;0.965527
14;(0, 0, 0, 0, 1);0.12;0.122441;0.968262
15;(0, 0, 0, 0, 1);0.15;0.154749;0.965527
16;(0, 0, 0, 0, 2);0.01;0.0073128;0.948145
17;(0, 0, 0, 0, 2);0.03;0.0335766;0.936523
18;(0, 0, 0, 0, 2);0.05;0.056786;0.930371
19;(0, 0, 0, 0, 2);0.06;0.0669184;0.931055
20;(0, 0, 0, 0, 2);0.08;0.0852535;0.932422
21;(0, 0, 0, 0, 2);0.1;0.104684;0.923535
22;(0, 0, 0, 0, 2);0.12;0.124542;0.933105
23;(0, 0, 0, 0, 2);0.15;0.158039;0.92627
24;(0, 0, 0, 0, 3);0.01;0.00656224;0.922656
25;(0, 0, 0, 0, 3);0.03;0.0394593;0.895898
26;(0, 0, 0, 0, 3);0.05;0.059734;0.895898
27;(0, 0, 0, 0, 3);0.06;0.0681843;0.896582
28;(0, 0, 0, 0, 3);0.08;0.0909793;0.885547
29;(0, 0, 0, 0, 3);0.1;0.112641;0.893848
30;(0, 0, 0, 0, 3);0.12;0.131819;0.898633
31;(0, 0, 0, 0, 3);0.15;0.161644;0.891113
32;(0, 0, 0, 0, 4);0.01;0.00542594;0.899902
33;(0, 0, 0, 0, 4);0.03;0.0412476;0.86416
34;(0, 0, 0, 0, 4);0.05;0.06285;0.85459
35;(0, 0, 0, 0, 4);0.06;0.0716483;0.857324
36;(0, 0, 0, 0, 4);0.08;0.0923625;0.849023
37;(0, 0, 0, 0, 4);0.1;0.115709;0.856641
38;(0, 0, 0, 0, 4);0.12;0.132681;0.859316
39;(0, 0, 0, 0, 4);0.15;0.158255;0.855273
40;(0, 0, 0, 1, 0);0.01;0.00462392;0.950391
41;(0, 0, 0, 1, 0);0.03;0.0278988;0.941602
42;(0, 0, 0, 1, 0);0.05;0.0546907;0.941016
43;(0, 0, 0, 1, 0);0.06;0.0639269;0.941016
44;(0, 0, 0, 1, 0);0.08;0.0859342;0.938672
45;(0, 0, 0, 1, 0);0.1;0.107366;0.938672
46;(0, 0, 0, 1, 0);0.12;0.126483;0.938086
47;(0, 0, 0, 1, 0);0.15;0.154174;0.938086
48;(0, 0, 0, 1, 1);0.01;0.00416536;0.937793
49;(0, 0, 0, 1, 1);0.03;0.0290691;0.91377
50;(0, 0, 0, 1, 1);0.05;0.0574353;0.90625
51;(0, 0, 0, 1, 1);0.06;0.0672984;0.906934
52;(0, 0, 0, 1, 1);0.08;0.0880138;0.907617
53;(0, 0, 0, 1, 1);0.1;0.109798;0.908984
